MEint2729.genome.CDS.2698,group01126
MEint2729.genome.CDS.2699,group00087
MEint2729.genome.CDS.2696,group00209
MEint2729.genome.CDS.2697,group00103
MEint2729.genome.CDS.2694,group00008
MEint2729.genome.CDS.2695,group00171
MEint2729.genome.CDS.2692,group00462
MEint2729.genome.CDS.2693,group00298
MEint2729.genome.CDS.2690,group09417
MEint2729.genome.CDS.2691,group00494
MEint2729.genome.CDS.3105,group01648
MEint2729.genome.CDS.3104,group01916
MEint2729.genome.CDS.3107,group13876
MEint2729.genome.CDS.3106,group13267
MEint2729.genome.CDS.3101,group00205
MEint2729.genome.CDS.3100,group01808
MEint2729.genome.CDS.3103,group08140
MEint2729.genome.CDS.3102,group08257
MEint2729.genome.CDS.3109,group08989
MEint2729.genome.CDS.3108,group00305
MEint2729.genome.CDS.2368,group10759
MEint2729.genome.CDS.2369,group01701
MEint2729.genome.CDS.2366,group00350
MEint2729.genome.CDS.2364,group00267
MEint2729.genome.CDS.2365,group08410
MEint2729.genome.CDS.2362,group01410
MEint2729.genome.CDS.2363,group03837
MEint2729.genome.CDS.2360,group00161
MEint2729.genome.CDS.2361,group00670
MEint2729.genome.CDS.2776,group02222
MEint2729.genome.CDS.2964,group01271
MEint2729.genome.CDS.2965,group01414
MEint2729.genome.CDS.2742,group00010
MEint2729.genome.CDS.2743,group00049
MEint2729.genome.CDS.2216,group02187
MEint2729.genome.CDS.2961,group08132
MEint2729.genome.CDS.2214,group01610
MEint2729.genome.CDS.2963,group01851
MEint2729.genome.CDS.2748,group01811
MEint2729.genome.CDS.2749,group05008
MEint2729.genome.CDS.2218,group02940
MEint2729.genome.CDS.2219,group04179
MEint2729.genome.CDS.2968,group00608
MEint2729.genome.CDS.2969,group01877
MEint2729.genome.CDS.2182,group01909
MEint2729.genome.CDS.2183,group01163
MEint2729.genome.CDS.2180,group00734
MEint2729.genome.CDS.2181,group00809
MEint2729.genome.CDS.2186,group07707
MEint2729.genome.CDS.2187,group07301
MEint2729.genome.CDS.2184,group03147
MEint2729.genome.CDS.2185,group05180
MEint2729.genome.CDS.2188,group00563
MEint2729.genome.CDS.2189,group00497
MEint2729.genome.CDS.2988,group04765
MEint2729.genome.CDS.2989,group01074
MEint2729.genome.CDS.2982,group02282
MEint2729.genome.CDS.2983,group01915
MEint2729.genome.CDS.2980,group01658
MEint2729.genome.CDS.2981,group01723
MEint2729.genome.CDS.2986,group08133
MEint2729.genome.CDS.2987,group00440
MEint2729.genome.CDS.2984,group04587
MEint2729.genome.CDS.2985,group00001
MEint2729.genome.CDS.1323,group01373
MEint2729.genome.CDS.1989,group02060
MEint2729.genome.CDS.1988,group00162
MEint2729.genome.CDS.1987,group00864
MEint2729.genome.CDS.1986,group07790
